   ,id                     ,title                                               ,artist                   ,danceability ,energy ,key ,loudness ,acousticness ,instrumentalness ,liveness ,valence ,tempo   ,duration_ms ,time_signature
26 ,6EmGcKra63FXiRA6XsfAas ,Ghost                                               ,nelward                  ,       0.82  , 0.883 , 11 ,-6.741   ,    0.28     ,1.01e-05         ,  0.101  , 0.688  ,102.958 ,     157282 ,             4
27 ,1Bv3h7Vc4AaYA2BcSM3rVd ,All I Wanted                                        ,Paramore                 ,       0.494 , 0.723 ,  6 ,-4.559   ,    0.0192   ,0.0322           ,  0.134  , 0.152  ,144.036 ,     225787 ,             4
28 ,4OBZT9EnhYIV17t4pGw7ig ,Best Part (feat. H.E.R.)                            ,Daniel Caesar            ,       0.473 , 0.371 ,  4 ,-10.219  ,    0.793    ,0.0              ,  0.109  , 0.413  , 75.205 ,     209400 ,             4
29 ,5zd9TgduWbfFXwgnm3K3Rz ,Poppin' My Collar (feat. Project Pat)               ,Three 6 Mafia            ,       0.729 , 0.795 ,  7 ,-4.579   ,    0.354    ,0.0              ,  0.536  , 0.856  ,146.747 ,     176880 ,             4
30 ,769Ld8demNhMgVLAQcjTDn ,sun and moon                                        ,anees                    ,       0.815 , 0.442 ,  6 ,-7.462   ,    0.457    ,0.0              ,  0.101  , 0.706  , 90.019 ,     151508 ,             4
31 ,65j65yDSE06CNKAPjsHoJt ,Was It Something I Said                             ,MyKey                    ,       0.587 , 0.724 ,  6 ,-6.775   ,    0.618    ,0.000166         ,  0.157  , 0.837  ,106.994 ,     220588 ,             4
32 ,3pbAV1Q2j1mNW78wqegBGt ,A Love of Your Own                                  ,Average White Band       ,       0.523 , 0.544 ,  7 ,-7.89    ,    0.394    ,0.000438         ,  0.0699 , 0.603  ,134.517 ,     336039 ,             4
33 ,3BU83xQPDHM3A4tYayv2Vj ,French Girl                                         ,Oscar Lang               ,       0.704 , 0.778 ,  0 ,-8.301   ,    0.66     ,0.00588          ,  0.137  , 0.478  ,110.019 ,     205429 ,             4
34 ,3pepZAOvUCBt3qWi9Ax6Aq ,"Never, Never Gonna Give Ya Up"                     ,Barry White              ,       0.615 , 0.804 ,  2 ,-11.04   ,    0.0823   ,0.0              ,  0.085  , 0.932  , 85.164 ,     290667 ,             4
35 ,4kiVGEOrzWmEUCxXU21rtN ,John The Fisherman                                  ,Primus                   ,       0.604 , 0.948 ,  7 ,-3.093   ,    0.000816 ,0.00714          ,  0.0446 , 0.861  ,115.132 ,     216733 ,             4
36 ,4wFzDwH40XrQL067ETa9wy ,Couch Potato                                        ,Jakubi                   ,       0.736 , 0.707 ,  8 ,-4.491   ,    0.251    ,0.0              ,  0.411  , 0.58   , 90.078 ,     195188 ,             4
37 ,5LYJ631w9ps5h9tdvac7yP ,Easy Lover                                          ,Philip Bailey            ,       0.74  , 0.923 ,  1 ,-5.082   ,    0.105    ,0.000163         ,  0.0825 , 0.93   ,128.871 ,     305867 ,             4
38 ,6I2BDcHnG8De0Kn7mVSNZE ,Django                                              ,Luis Bacalov             ,       0.456 , 0.736 ,  2 ,-4.818   ,    0.485    ,6.47e-06         ,  0.109  , 0.482  , 97.211 ,     173693 ,             3
39 ,2aaOJJd2fBkd4es7vI2h2a ,Love Was Really Gone - 2018 Remaster                ,Makoto Matsushita        ,       0.619 , 0.653 ,  4 ,-8.477   ,    0.594    ,0.00201          ,  0.215  , 0.408  , 86.962 ,     347367 ,             4
40 ,0tZl0PSeanzkzF5Kps7uXL ,love u lately                                       ,Laica                    ,       0.656 , 0.676 ,  9 ,-6.93    ,    0.126    ,0.0              ,  0.057  , 0.492  ,150.016 ,     165720 ,             4
41 ,0zoGVO4bQXG8U6ChKwNgeg ,4:00A.M.                                            ,Taeko Onuki              ,       0.631 , 0.644 , 10 ,-10.81   ,    0.341    ,0.000411         ,  0.0877 , 0.861  ,103.376 ,     336960 ,             4
42 ,1boXOL0ua7N2iCOUVI1p9F ,Japanese Denim                                      ,Daniel Caesar            ,       0.707 , 0.238 ,  3 ,-8.818   ,    0.0905   ,2.42e-06         ,  0.0842 , 0.345  ,124.156 ,     270847 ,             3
43 ,3bt6rnq9mCrq1XStEcGaNl ,Apartment (feat. Benny Sings)                       ,Free Nationals           ,       0.736 , 0.816 , 11 ,-7.306   ,    0.34     ,0.048            ,  0.0977 , 0.909  ,162.065 ,     184574 ,             4
44 ,6nQ5BgxkRV5adJWZ5J3yhO ,Lifeline                                            ,Roy Ayers Ubiquity       ,       0.513 , 0.747 ,  3 ,-10.356  ,    0.189    ,0.0692           ,  0.0731 , 0.825  ,158.388 ,     173347 ,             4
45 ,7ASFZh1D0DPZro7UXUKGmd ,Loving Is Easy                                      ,Rex Orange County        ,       0.756 , 0.609 ,  3 ,-7.927   ,    0.217    ,0.00482          ,  0.0959 , 0.537  ,117.024 ,     155720 ,             4
46 ,6ObpR8ek44tvWefQRcSo8K ,Calling All My Lovelies                             ,Bruno Mars               ,       0.662 , 0.705 ,  1 ,-6.56    ,    0.0392   ,2.38e-06         ,  0.105  , 0.865  ,159.996 ,     250080 ,             4
47 ,2p9InWsxSanp9HH1nQKN8H ,Bumble Bee                                          ,Bambee                   ,       0.639 , 0.991 , 10 ,-3.106   ,    0.00889  ,0.0107           ,  0.324  , 0.972  ,138.022 ,     196920 ,             4
48 ,59M05MYZ4uUvl3JHGMOtZk ,Mo' Momo!                                           ,Lucky Chops              ,       0.475 , 0.679 ,  0 ,-5.559   ,    0.00235  ,0.0924           ,  0.368  , 0.244  ,139.922 ,     315790 ,             4
49 ,5S5u0EWtlblH00iTNExZ6X ,I Think I Like When It Rains                        ,WILLIS                   ,       0.622 , 0.471 ,  9 ,-7.105   ,    0.0448   ,0.0              ,  0.0957 , 0.278  ,124.455 ,     278293 ,             4
